n,k,brute_force,CalinescuKarloffRabani,electrical_alg,ratio_BruteCKR,ratio_BruteElectrical,ratioCKRElectrical,brute_time,ckr_time,elec_time
65,13,,32.54926052446859,65.43263444457668,,,2.0102648536481595,,,
10,2,4.248012409131585,4.248012409131585,4.248012409131585,1.0,1.0,1.0,0.012329816818237305,0.07575607299804688,0.005177021026611328
10,3,5.9676410389931895,5.9676410389931895,7.236232232803081,1.0,1.2125783346419103,1.2125783346419103,0.12437200546264648,0.0396580696105957,0.0058820247650146484
10,4,5.904193394452948,5.904193394452948,8.62544545669505,1.0,1.4609015796804263,1.4609015796804263,0.2984299659729004,0.04314303398132324,0.004382133483886719
10,5,,11.552085239895824,14.116146999213237,,,1.2219566170151057,,0.046797990798950195,0.0068759918212890625
11,2,4.324739533628092,4.324739533628092,4.324739533628092,1.0,1.0,1.0,0.024154186248779297,0.047213077545166016,0.00967097282409668
11,3,4.764773051615672,4.764773051615672,4.989016965242115,1.0,1.0470628739705463,1.0470628739705463,0.3793821334838867,0.044454097747802734,0.003740072250366211
11,4,10.413800942935357,10.413800942935357,11.497159250300674,1.0,1.1040310174259917,1.1040310174259917,1.0835869312286377,0.04561614990234375,0.00415492057800293
11,5,,13.759498107315952,15.010120888763582,,,1.0908915987846004,,0.04700589179992676,0.004547119140625
12,2,4.498689710997461,4.498689710997461,4.498689710997461,1.0,1.0,1.0,0.050676822662353516,0.04931998252868652,0.0036840438842773438
12,3,5.7567058383882,5.7567058383882,7.311440151046071,1.0,1.2700736074249672,1.2700736074249672,1.1681408882141113,0.05131101608276367,0.004338979721069336
12,4,8.504704063659698,8.504704063659698,11.324819420151394,1.0,1.3315947663060905,1.3315947663060905,4.529240846633911,0.08570599555969238,0.008021831512451172
12,5,,14.731015007786041,17.277028300920698,,,1.1728335278858224,,0.052906036376953125,0.004923820495605469
12,6,,11.836380931297649,13.726362342653296,,,1.1596756155725079,,0.0538179874420166,0.005156993865966797
13,2,3.814997728335178,3.814997728335178,3.814997728335178,1.0,1.0,1.0,0.10625815391540527,0.056817054748535156,0.0037660598754882812
13,3,7.756366120468991,7.756366120468991,9.043612705234041,1.0,1.16596000817548,1.16596000817548,3.593350887298584,0.05889391899108887,0.004709959030151367
13,4,9.840225048958319,9.840225048958319,11.288594875814601,1.0,1.1471886892474685,1.1471886892474685,18.622972011566162,0.05928301811218262,0.0044841766357421875
13,5,,7.338369103902116,10.067136231114711,,,1.3718492608611899,,0.06113600730895996,0.004868984222412109
13,6,,16.261509804641644,18.396425825824185,,,1.1312864578277446,,0.06090903282165527,0.005642890930175781
14,2,6.962596828479342,6.962596828479342,7.336649286314156,1.0,1.053723124726225,1.053723124726225,0.22023296356201172,0.06351804733276367,0.0052831172943115234
14,3,6.991603947454358,6.991603947454358,9.102858187833549,1.0,1.301969942268812,1.301969942268812,11.470993041992188,0.06412196159362793,0.004348039627075195
14,4,8.694344323885314,8.694344323885314,9.935391069984622,1.0,1.1427418445678386,1.1427418445678386,80.21498799324036,0.06596899032592773,0.005476951599121094
14,5,,8.157309282738453,11.21701495444297,,,1.3750876135319656,,0.0749058723449707,0.006454944610595703
14,6,,14.405041829850795,15.51906275370179,,,1.0773354869086509,,0.07666611671447754,0.0062448978424072266
14,7,,17.400786228564797,19.164831839865755,,,1.1013773508926357,,0.0770120620727539,0.007289886474609375
15,2,,2.2500583392920026,2.7190586233362333,,,1.208439166155934,,0.07893490791320801,0.0052509307861328125
15,3,,5.57963132117119,5.693481731822274,,,1.020404647564991,,0.07941889762878418,0.022283077239990234
15,4,,9.891676490731774,13.371166129480272,,,1.35175934453666,,0.08152484893798828,0.0054378509521484375
15,5,,12.451181640063735,15.284960426703066,,,1.2275911530774861,,0.0825040340423584,0.00583195686340332
15,6,,15.21038370475584,17.57730772420434,,,1.1556123806862566,,0.08433294296264648,0.006494998931884766
15,7,,16.62796717785341,18.224538939956126,,,1.0960172548469527,,0.08493494987487793,0.006571054458618164
16,2,,2.9351493078778104,2.9891363577502084,,,1.018393289134389,,0.08669710159301758,0.007883071899414062
16,3,,5.4605868461472,9.274474412641192,,,1.698439137395084,,0.08798909187316895,0.012709856033325195
16,4,,11.961920673317891,16.35398578599298,,,1.3671705600315485,,0.11980509757995605,0.006112813949584961
16,5,,8.588816366708546,11.739297956506478,,,1.3668120792533929,,0.09053587913513184,0.010750055313110352
16,6,,16.758664578739182,22.618815380691018,,,1.3496788645908155,,0.09134292602539062,0.007055997848510742
16,7,,15.892171746041255,20.754239476498288,,,1.3059410512391534,,0.09391379356384277,0.006729841232299805
16,8,,15.094109054639954,20.538849100697053,,,1.360719538089158,,0.09438490867614746,0.007265806198120117
17,2,,1.431860666117377,1.431860666117377,,,1.0,,0.09504508972167969,0.00487208366394043
17,3,,6.890948973304776,9.047232408555281,,,1.3129153101559523,,0.09570503234863281,0.005501985549926758
17,4,,9.489696493775138,10.053516535611367,,,1.0594139172107424,,0.09775400161743164,0.006590843200683594
17,5,,9.986941295078813,11.707068841989882,,,1.172237674788244,,0.09822821617126465,0.0071828365325927734
17,6,,15.711165776467059,17.76927731182284,,,1.1309967423574971,,0.10115504264831543,0.006999969482421875
17,7,,16.740635600626703,18.381168143457273,,,1.0979970284263971,,0.16999602317810059,0.011478900909423828
17,8,,12.18530694964333,16.44001570609459,,,1.3491671382620196,,0.17027020454406738,0.013459920883178711
18,2,,2.7742254163923175,2.7742254163923175,,,1.0,,0.17188405990600586,0.01473093032836914
18,3,,7.787259875924837,7.787259875924837,,,1.0,,0.17490196228027344,0.029911041259765625
18,4,,8.660997059678309,12.676064071125381,,,1.4635802302877359,,0.18819212913513184,0.008944988250732422
18,5,,13.197315281667763,16.645102419458443,,,1.2612491301605835,,0.1819629669189453,0.01212000846862793
18,6,,9.554652995337474,13.833400188600182,,,1.4478181672689392,,0.22739291191101074,0.012235164642333984
18,7,,14.919752593834549,21.43011579338677,,,1.436358656660471,,0.1889948844909668,0.011661052703857422
18,8,,15.312792067289811,20.0261852920716,,,1.3078075640333569,,0.18917393684387207,0.013081073760986328
